SPG21	[0.14832344 0.00042383]
SPPL2B	[0.0071441  0.86592569]
C22orf27	[-0.00714015  0.86599913]
SGSM1	[-0.00713612  0.86607404]
SLC1A1	[-0.00713054  0.86617775]
KRT76	[-0.00712941  0.86619886]
LAD1	[0.00712758 0.8662329 ]
LAMA3	[0.00712286 0.86632069]
RGS8	[-0.0071199   0.86637571]
OR10P1	[0.00711829 0.8664056 ]
FKHL18	[-0.00710854  0.86658681]
LGMN	[0.0071055  0.86664332]
PPM1F	[0.00710288 0.86669217]
SLC39A12	[-0.00710033  0.86673943]
MED8	[-0.00709812  0.86678054]
SEPSECS	[-0.00709667  0.86680761]
ZNF224	[0.0070946 0.866846 ]
MED27	[0.00709195 0.86689528]
OBSCN	[0.0070894  0.86694272]
SCARB1	[-0.00708449  0.86703406]
DSC3	[0.00708374 0.86704801]
ZNF71	[-0.00708368  0.86704917]
SC4MOL	[-0.00708053  0.86710771]
TXNRD1	[0.00708041 0.86710986]
PHKA1	[0.00707996 0.86711829]
SNAPC3	[0.00707825 0.86715006]
SNTA1	[0.00707572 0.86719715]
GOLIM4	[-0.0070697   0.86730898]
TMPRSS13	[-0.00706024  0.86748499]
TM4SF18	[-0.00705934  0.86750168]
SH3PXD2B	[-0.00705531  0.86757671]
PRPF8	[0.00704936 0.86768729]
FGF9	[-0.00704511  0.86776635]
LOC388335	[-0.00704422  0.86778288]
ASPH	[-0.0070351   0.86795252]
FAM107A	[-0.00703471  0.8679598 ]
ACSM1	[-0.00702357  0.86816698]
OR10S1	[-0.00701521  0.86832235]
TMEM14B	[0.00700725 0.86847049]
ARHGEF19	[-0.00700366  0.86853722]
RAPGEF3	[-0.00699755  0.86865095]
ETF1	[0.00699735 0.86865467]
PRTG	[0.00699651 0.86867015]
E2F1	[0.00699161 0.86876132]
APBB2	[0.00698658 0.86885501]
LYPD5	[-0.00697766  0.8690208 ]
RP5-1054A22.3	[-0.00697427  0.8690839 ]
C12orf60	[0.00697386 0.86909164]
SUDS3	[-0.00696052  0.86933977]
ICAM1	[-0.00695883  0.86937116]
ASTE1	[0.00695814 0.86938405]
AVIL	[0.00695148 0.86950781]
CCDC102A	[0.00694635 0.86960336]
IBTK	[0.00694561 0.86961719]
PCDH1	[0.00694509 0.86962676]
BCL3	[-0.00694445  0.86963868]
LSM6	[-0.00694325  0.869661  ]
FAIM	[0.00694193 0.86968553]
PHF14	[0.00693912 0.8697379 ]
SLC8A2	[0.00693855 0.86974842]
CLN5	[0.00693479 0.86981836]
C11orf77	[0.00692361 0.8700264 ]
HLA-DPB1	[-0.00691657  0.87015746]
HR	[-0.00691628  0.87016276]
C18orf55	[-0.00690854  0.87030683]
SP7	[0.00690028 0.87046053]
ECSIT	[-0.00689973  0.87047081]
PLEKHB2	[0.00689112 0.87063102]
TPI1	[0.00688496 0.87074554]
PITX1	[-0.00687927  0.87085156]
USP31	[-0.00687079  0.87100937]
SNX25	[-0.0068609   0.87119326]
BLZF1	[-0.00686057  0.87119951]
BCAS4	[-0.00685451  0.87131222]
STARD13	[0.00685444 0.87131352]
TMEM86A	[-0.00684888  0.87141708]
CAPN3	[-0.00684716  0.87144907]
PHC3	[0.00684436 0.87150122]
RPA2	[0.0068429  0.87152827]
PRRT2	[0.00684072 0.87156896]
LGI3	[-0.00683938  0.87159392]
ZIK1	[0.00683171 0.87173662]
KCNK15	[-0.00682844  0.87179753]
CCNT2	[-0.00682732  0.87181825]
TPP1	[0.00682655 0.87183274]
ASXL2	[-0.00682271  0.87190406]
HOMER3	[0.00681711 0.87200827]
RANBP17	[0.00681062 0.87212922]
MRPL53	[-0.00680991  0.87214236]
FBXL14	[0.00680622 0.87221112]
EHD2	[0.00680545 0.87222533]
NAT8	[0.00680303 0.87227044]
RAB21	[0.00679952 0.87233571]
FAM43A	[-0.00679739  0.87237549]
GUCY1A2	[0.00679689 0.87238465]
FHL1	[0.00679231 0.87247004]
SEC24A	[-0.00679136  0.8724876 ]
HIGD2A	[-0.00678153  0.87267075]
GJA3	[0.00677684 0.87275807]
EVPL	[0.00677299 0.87282969]
KIF1B	[0.00676248 0.87302535]
APOBEC1	[0.0067577  0.87311432]
ZNF195	[0.00675737 0.87312042]
SLC24A5	[0.00675696 0.8731281 ]
OR8S1	[0.00675576 0.87315046]
ETHE1	[-0.00675569  0.87315178]
ADH7	[-0.00675454  0.87317314]
MSL2L1	[0.00675283 0.87320506]
KLHDC4	[-0.00674966  0.87326395]
SEPT9	[0.00674254 0.87339652]
GGTL4	[-0.006734    0.87355558]
MYO9B	[0.00672597 0.87370514]
MRPS15	[-0.00672569  0.87371034]
SHF	[0.00671762 0.87386064]
COQ7	[0.00671217 0.87396197]
LTB4R	[0.0067121  0.87396345]
TMEM189	[-0.00671043  0.87399455]
SLC13A2	[-0.00670696  0.87405911]
SPIN4	[0.0067065  0.87406759]
PDCL3	[0.00670623 0.87407265]
C11orf70	[-0.00669075  0.87436103]
TBL3	[0.00668775 0.87441672]
PFDN2	[-0.00668595  0.87445042]
KRTAP4-4	[-0.00668075  0.87454725]
TXLNA	[0.0066792  0.87457599]
SLC19A3	[0.00667235 0.87470363]
NAPRT1	[0.00667145 0.87472038]
KIAA0754	[-0.0066676   0.87479212]
COMMD2	[0.0066635 0.8748684]
TNS4	[-0.00665604  0.87500735]
CCDC5	[0.00665601 0.87500793]
OR5D16	[-0.00665435  0.87503892]
PAQR7	[-0.00665141  0.87509364]
C17orf71	[-0.00664315  0.87524751]
MVD	[-0.00663265  0.87544299]
NPEPL1	[-0.00663233  0.87544903]
TBCA	[-0.00663184  0.87545819]
KIAA1920	[0.00663021 0.8754885 ]
POMT2	[-0.00662988  0.87549467]
PTPN14	[-0.00661613  0.87575078]
GHITM	[0.00661453 0.87578047]
C10orf82	[-0.00660624  0.87593501]
ZNF687	[-0.00660403  0.87597605]
TREX2	[-0.00660051  0.87604175]
C18orf8	[0.00659358 0.87617086]
C14orf101	[0.00658983 0.87624073]
LHPP	[0.00658856 0.8762643 ]
ZNF184	[-0.00658174  0.87639134]
ZNF471	[-0.00657963  0.87643062]
ZNF323	[-0.00657861  0.87644968]
MYO1C	[-0.00657655  0.87648801]
ATP5G1	[-0.00657124  0.87658703]
LYRM4	[-0.00656883  0.8766319 ]
OCC-1	[-0.00656621  0.8766808 ]
APEX2	[-0.00656611  0.8766825 ]
NCOA5	[0.0065644  0.87671437]
GAB1	[0.00655986 0.87679898]
KIAA1161	[0.00655969 0.87680224]
TMPRSS12	[-0.00655687  0.87685468]
RNF40	[0.00654303 0.87711265]
XAB1	[0.00654054 0.87715894]
SYNGR3	[-0.00653799  0.87720642]
C22orf23	[0.00653542 0.87725442]
SLC22A18	[-0.00653358  0.87728863]
DNAH1	[-0.00653238  0.87731106]
CCDC58	[-0.00653209  0.87731644]
CRIM1	[-0.00653155  0.87732658]
ELK4	[0.00652784 0.87739563]
RGS10	[-0.00652573  0.87743488]
C18orf19	[0.00652356 0.87747532]
LRRC7	[-0.00652018  0.87753839]
C20orf70	[-0.00651994  0.8775428 ]
KIAA1908	[-0.00651941  0.87755272]
KRT38	[0.00651725 0.87759292]
C21orf109	[0.00651421 0.87764964]
SLCO1B3	[0.00651381 0.87765711]
FLJ23049	[-0.00651145  0.87770098]
PRCC	[0.0065092  0.87774305]
ECHDC3	[0.00650752 0.87777438]
KRT6B	[-0.006506    0.87780257]
RHOQ	[0.00650543 0.8778133 ]
PSTPIP1	[0.00649927 0.877928  ]
JAK1	[0.00649339 0.8780376 ]
DAPK2	[-0.00648842  0.87813032]
SLC17A7	[-0.00648817  0.87813483]
AUP1	[-0.00648319  0.87822777]
CCDC69	[-0.00647325  0.87841297]
DALRD3	[0.00646876 0.87849665]
LRRC32	[0.00646169 0.87862844]
NRTN	[-0.00646147  0.87863246]
RBBP4	[0.00645125 0.87882303]
TP53INP1	[-0.0064509   0.87882948]
BAZ1B	[-0.0064476   0.87889111]
SLC30A10	[0.00642453 0.87932111]
CTAGEP	[0.00642324 0.87934503]
SRR	[0.00641745 0.87945297]
PRSS3	[0.00641487 0.87950114]
LARP2	[-0.00641481  0.8795022 ]
C1QL4	[0.00641255 0.87954443]
FLJ11151	[0.00640257 0.87973036]
ADD2	[-0.00640059  0.87976723]
MYEOV	[0.00639795 0.87981651]
EXO1	[0.00639696 0.87983493]
FRMD3	[0.00639691 0.87983588]
ADHFE1	[0.00639066 0.87995248]
RNF151	[-0.00638936  0.87997667]
ZNF410	[0.00638648 0.88003032]
SLC2A4	[0.00638621 0.88003532]
FLJ43860	[0.00636685 0.88039629]
C16orf48	[-0.00636653  0.88040223]
C19orf36	[-0.00636212  0.88048457]
GRB14	[0.00634819 0.88074421]
MICAL3	[0.00634108 0.8808769 ]
PLEKHH1	[0.00633778 0.88093837]
SCGB3A2	[0.00633557 0.88097953]
ITGAV	[-0.00633194  0.88104732]
LOC493869	[0.00632977 0.88108767]
CYP4Z1	[-0.00632873  0.88110711]
FAM79A	[0.00632674 0.88114419]
SLC23A1	[0.00632663 0.88114623]
MAFK	[-0.0063213   0.88124569]
GNG7	[0.00632016 0.88126694]
LOC56964	[0.00631417 0.88137863]
SIPA1	[-0.00631331  0.88139471]
NUP85	[-0.00631304  0.88139963]
TAC4	[0.00631175 0.8814237 ]
RAD51L1	[0.00630629 0.88152555]
OR4A16	[0.00630539 0.88154243]
BTRC	[0.00630312 0.8815846 ]
ZNF554	[-0.00630149  0.88161507]
BIRC8	[-0.00629786  0.88168287]
GCHFR	[-0.00629415  0.88175194]
RNF138	[-0.00629257  0.88178141]
C12orf25	[0.00629075 0.88181529]
BIN1	[0.00628829 0.88186129]
DMP1	[-0.00628219  0.88197497]
ATP5F1	[0.00628198 0.88197889]
SLC7A5	[-0.00628063  0.88200414]
ODF2L	[-0.00627939  0.88202727]
S100A16	[-0.00627779  0.88205704]
C3orf35	[-0.00627584  0.88209347]
IGF2BP2	[0.00627432 0.88212182]
STRC	[-0.00627379  0.88213167]
NKX2-8	[-0.00627363  0.88213475]
C16orf82	[0.00627344 0.8821382 ]
ZFP64	[-0.00627177  0.88216932]
SEMA3E	[-0.00626885  0.88222374]
ZNF264	[0.00625989 0.88239098]
PTPRE	[-0.00625738  0.88243781]
MGAT2	[0.00625275 0.88252416]
ERCC4	[-0.00624537  0.88266172]
CCNJ	[0.0062419  0.88272642]
MAP3K14	[-0.00624127  0.88273826]
FAM118B	[-0.00624046  0.88275333]
WBP1	[0.00623576 0.88284091]
C6orf48	[-0.00623431  0.88286809]
OR10G3	[-0.00623282  0.88289586]
ZNF655	[-0.00622829  0.88298025]
ST3GAL1	[-0.0062274   0.88299689]
GPS2	[-0.00622575  0.88302763]
NDST1	[0.00622153 0.88310638]
C21orf70	[-0.00621932  0.88314761]
SUPT16H	[0.00621741 0.88318338]
SOX12	[-0.00621285  0.88326843]
HSPA12B	[-0.00621266  0.88327196]
CTF1	[0.00620935 0.88333374]
USH2A	[-0.00620496  0.88341554]
TLE3	[-0.00620321  0.88344818]
CLDN17	[0.0062009  0.88349132]
LRBA	[-0.00620057  0.88349736]
AMOT	[0.00619688 0.8835663 ]
SLC39A4	[-0.00619209  0.88365565]
CCNF	[0.00618892 0.88371483]
PSENEN	[-0.0061885   0.88372254]
NFKBIA	[-0.00618394  0.88380767]
HRBL	[0.00618082 0.88386581]
LOC595101	[0.00617297 0.88401236]
NPR1	[-0.00616505  0.88416018]
MPDZ	[0.00616368 0.88418575]
KIAA1377	[0.00615024 0.88443641]
IQSEC3	[-0.00614805  0.88447725]
L3MBTL2	[-0.00614443  0.8845449 ]
PHF17	[0.00614373 0.88455786]
FANCM	[-0.00614266  0.88457782]
MRPL4	[-0.0061415   0.88459949]
CBY1	[-0.00613822  0.8846608 ]
MPP7	[0.00612016 0.88499777]
NSUN7	[-0.00611826  0.88503325]
FBXW5	[-0.00611732  0.88505063]
OLFM1	[-0.00611611  0.88507321]
ZNF438	[-0.00611558  0.8850832 ]
ARMC3	[0.00611526 0.88508915]
SETD7	[0.00611512 0.88509168]
CASC2	[0.00611149 0.88515954]
GAS8	[0.00610544 0.88527242]
SOCS4	[0.00610283 0.88532106]
B3GNT5	[-0.00610134  0.88534896]
TTC26	[-0.00609983  0.88537708]
REEP5	[-0.00609678  0.88543411]
PAGE1	[-0.00609519  0.88546362]
ADAMTS17	[0.00609313 0.88550205]
ACOT2	[0.00609263 0.88551137]
CSAG3A	[0.00608765 0.88560432]
LYZL1	[0.00608573 0.88564024]
FAHD2A	[0.00607994 0.88574831]
HIST1H3E	[0.00607279 0.88588177]
HIBADH	[-0.00607213  0.88589401]
HTR3C	[0.00606899 0.88595256]
LOC51035	[0.00606531 0.88602127]
CCDC130	[-0.00606508  0.8860257 ]
BAZ1A	[-0.00606506  0.88602599]
C19orf44	[0.00606495 0.88602798]
C21orf77	[-0.00606178  0.88608716]
MTMR7	[-0.00606129  0.88609632]
FBP1	[-0.00605853  0.88614787]
SLC39A5	[-0.00605762  0.88616481]
MET	[0.00605749 0.88616731]
TMED9	[0.00605595 0.88619609]
BAIAP2	[-0.00605594  0.88619616]
DHFR	[0.00604634 0.8863754 ]
C14orf32	[-0.00603983  0.88649697]
BHLHB8	[-0.00603704  0.88654898]
NRG3	[-0.00603699  0.88654983]
ZBTB8OS	[-0.00603545  0.88657868]
ZNF598	[-0.00603249  0.88663387]
SH3PXD2A	[0.00603142 0.88665395]
RPUSD3	[-0.00603028  0.88667512]
RPS4Y2	[0.0060274  0.88672889]
OR1D4	[0.00602733 0.88673031]
FRMPD4	[-0.00602553  0.88676381]
SPECC1	[0.00602397 0.88679293]
JMJD3	[0.00602315 0.88680832]
DYDC2	[-0.00602227  0.88682468]
DCI	[-0.00601709  0.88692129]
AGPAT3	[0.00601384 0.88698199]
KCNIP3	[0.00601226 0.88701155]
DUSP16	[0.00601009 0.88705206]
LOC253970	[0.00600832 0.88708507]
NRN1L	[-0.00600829  0.88708571]
JMJD5	[-0.00600705  0.88710885]
LOC440356	[-0.00600651  0.88711895]
ZNF703	[0.00598786 0.88746696]
PTGFRN	[-0.00598198  0.88757684]
ALS2	[-0.00598068  0.88760112]
IGFL1	[0.00597525 0.88770242]
SMARCE1	[0.00596867 0.88782536]
KCNC4	[-0.00596811  0.8878357 ]
SNX22	[-0.0059666   0.88786399]
NSDHL	[-0.00596183  0.88795303]
ULK4	[0.0059613  0.88796295]
FLJ25328	[-0.00595795  0.8880255 ]
CNKSR2	[-0.00594961  0.88818125]
MYOM1	[0.00594754 0.8882199 ]
CIT	[0.00594498 0.88826759]
MCL1	[-0.00594495  0.88826826]
PCNP	[-0.00593828  0.88839277]
GSG2	[0.00593456 0.88846208]
PLA2G1B	[-0.00593361  0.88847988]
UBE2W	[-0.00593269  0.88849718]
PLAA	[0.00592681 0.88860681]
CCDC26	[-0.00592493  0.88864197]
MBP	[-0.0059241   0.88865748]
KIF3A	[-0.00592398  0.88865972]
ZBTB47	[-0.00590977  0.88892513]
ZNF10	[-0.00590912  0.8889373 ]
TMEM133	[0.00590847 0.8889493 ]
PRKACA	[0.0058997  0.88911305]
RDH10	[-0.00589212  0.8892547 ]
BNC1	[0.00589109 0.88927381]
CNKSR3	[-0.00588685  0.88935311]
KRT3	[-0.00588633  0.88936271]
BTF3	[0.005885   0.88938761]
DNAI2	[-0.00588219  0.88944011]
C16orf5	[-0.00587898  0.88950002]
OR2B6	[0.00587778 0.88952248]
CEBPG	[-0.00587438  0.88958598]
PFKFB3	[-0.00586407  0.88977854]
VTN	[-0.00586283  0.88980172]
ZAK	[-0.00585551  0.88993834]
GSTZ1	[-0.00585545  0.88993948]
GPC4	[-0.0058505   0.89003201]
USP21	[0.00584874 0.89006488]
ATRIP	[0.0058434 0.8901646]
ARMET	[0.00584134 0.89020313]
SHROOM4	[-0.0058405   0.89021864]
RPRM	[0.00583947 0.89023798]
AQP6	[-0.00583381  0.89034362]
EPHA2	[0.00583319 0.89035533]
GAS2L2	[-0.00583288  0.89036101]
PRDM2	[0.00583219 0.89037402]
PJA2	[-0.00583065  0.89040279]
DAPK1	[0.00582686 0.89047346]
SNX12	[0.00582484 0.89051117]
CCDC87	[-0.00582451  0.89051738]
JMJD6	[-0.00582425  0.89052226]
SETD8	[0.00582256 0.89055383]
SERPINB9	[0.00582098 0.89058341]
DRG1	[-0.00581682  0.89066107]
MARCH8	[0.0058029  0.89092097]
PPYR1	[-0.00580049  0.89096613]
ACSBG1	[0.00579913 0.89099148]
LOC554207	[-0.00579297  0.89110652]
C17orf45	[0.00579063 0.89115028]
C11orf59	[0.00578846 0.89119078]
ING5	[-0.005786    0.89123677]
SYT11	[0.00578589 0.89123874]
ATP1A2	[-0.00578572  0.89124195]
ACE2	[0.00578302 0.8912925 ]
C18orf1	[0.00577734 0.89139859]
EAPP	[0.00577427 0.89145588]
STIM1	[0.00577211 0.89149624]
INTS7	[-0.00577133  0.89151076]
GPRC5A	[0.00576483 0.89163231]
SAGE1	[-0.00576119  0.89170027]
LOC51252	[0.00576001 0.89172226]
SYTL2	[-0.00574527  0.89199773]
KRTAP11-1	[0.00574499 0.89200298]
FAM5B	[0.00573573 0.89217602]
CENPA	[-0.00573231  0.89223992]
HYAL1	[-0.00572944  0.8922934 ]
MED12L	[0.00572083 0.89245437]
HS3ST4	[0.00571485 0.89256609]
C1orf124	[-0.00570984  0.89265974]
AP3B1	[-0.00570178  0.89281022]
DKFZp434K191	[0.00569785 0.89288372]
ANLN	[0.00569044 0.89302213]
NDFIP2	[-0.00568572  0.89311035]
PDE4C	[-0.00567912  0.89323382]
BAT2	[-0.00567201  0.89336671]
FOXRED2	[0.00566928 0.89341757]
MTMR14	[0.00566678 0.89346427]
APRT	[0.00566432 0.8935104 ]
ADFP	[0.00565837 0.89362161]
ZKSCAN4	[-0.00565558  0.89367373]
PCDH9	[-0.00565201  0.89374047]
SGK3	[-0.0056515   0.89374992]
HMHA1	[-0.0056506  0.8937667]
GAMT	[0.00564883 0.89379978]
ANK2	[-0.00564425  0.89388543]
MAT2B	[-0.00564396  0.89389078]
MFSD3	[-0.00563695  0.89402181]
KLHL25	[-0.00563679  0.8940249 ]
GM2A	[-0.00563378  0.89408116]
LRRC34	[0.00563303 0.89409503]
ZNF542	[-0.00562912  0.89416824]
LOC100101267	[0.00562626 0.89422172]
CYP1A1	[0.00562254 0.8942912 ]
ARP11	[0.00562234 0.8942949 ]
TRIM37	[-0.00561906  0.89435626]
FLJ22655	[-0.00561733  0.89438855]
HAS3	[0.00561588 0.89441562]
SCYE1	[-0.00561047  0.89451672]
ITGA2	[0.00560764 0.89456968]
NOX4	[-0.00560621  0.89459649]
SERPINB11	[-0.00560062  0.89470096]
ACADL	[-0.0055925   0.89485268]
ARL4A	[0.00558467 0.89499899]
LOC388381	[-0.00557928  0.89509988]
EPHB6	[0.00557195 0.89523673]
UFC1	[0.00556712 0.89532718]
CUBN	[0.00556649 0.89533885]
PMS2CL	[0.0055624  0.89541539]
TP53I3	[-0.00555946  0.89547036]
C10orf47	[-0.00555284  0.89559403]
ICK	[-0.00554909  0.89566421]
PPP1R7	[0.00554621 0.89571807]
DBH	[-0.00554008  0.89583268]
DRD4	[-0.00553853  0.89586159]
ARL8A	[-0.00553513  0.89592519]
IFNA6	[-0.00553502  0.89592716]
PSMB2	[-0.00553037  0.89601423]
PPIE	[0.0055254  0.89610703]
GABBR2	[-0.00552441  0.89612554]
SEL1L	[0.00552428 0.89612805]
SCHIP1	[-0.00551656  0.89627229]
KLHL12	[-0.00550404  0.89650648]
FAM122C	[0.00549723 0.89663369]
TMEM108	[0.00549132 0.89674435]
LRMP	[-0.00548758  0.89681427]
BID	[-0.00548259  0.89690761]
FLJ33790	[0.0054805  0.89694661]
ATAD3B	[-0.00547965  0.89696258]
MGC35295	[-0.0054793   0.89696901]
C2orf47	[0.00547839 0.89698607]
MAPK13	[-0.00547506  0.89704835]
NOS2A	[-0.00547452  0.89705837]
C19orf29	[0.00546572 0.89722296]
TMEM102	[0.00546437 0.89724821]
NOL7	[-0.00545759  0.89737499]
C9orf119	[0.00545319 0.89745736]
MRPS2	[0.00544285 0.89765074]
FLJ10815	[0.00544196 0.89766738]
ZNF547	[-0.00543563  0.89778577]
DOHH	[-0.00543241  0.89784589]
MOSPD1	[0.00543133 0.89786614]
RFX2	[-0.00542621  0.89796193]
IVNS1ABP	[0.0054257  0.89797132]
TSSC1	[0.00542533 0.89797827]
DDC	[-0.00542429  0.89799773]
AQP7P2	[-0.00541514  0.89816882]
PTBP2	[-0.00540972  0.89827019]
MRPS18C	[0.00540939 0.89827649]
SNN	[0.00540416 0.89837432]
PCDHB17	[-0.0053987   0.89847643]
COMMD3	[-0.00539797  0.89848999]
OR8K3	[0.00539628 0.89852167]
DYRK2	[0.00539559 0.89853449]
SPATA22	[-0.00539529  0.89854011]
SMURF1	[-0.00539067  0.89862661]
TRIM29	[-0.00538792  0.89867795]
SESN1	[0.00538624 0.89870939]
SGPP2	[0.0053832  0.89876621]
TACC2	[-0.00538187  0.89879113]
PLAC2	[0.00537916 0.89884182]
PRSS1	[0.0053781  0.89886174]
SPATA18	[0.00537655 0.8988906 ]
MAML3	[-0.00537603  0.89890043]
KCNIP1	[-0.00537458  0.8989275 ]
FUZ	[0.0053716  0.89898325]
MEX3D	[0.00537092 0.89899592]
TRAF3IP1	[0.00536414 0.89912283]
FBXO7	[0.00536121 0.89917763]
TRIM62	[-0.00536009  0.89919858]
EBF3	[-0.00535415  0.8993096 ]
FAHD2B	[0.00535003 0.89938669]
METTL7B	[-0.00534782  0.89942814]
SNAPC2	[-0.00534276  0.89952265]
EIF4E3	[-0.00533893  0.89959436]
CREB5	[0.00533003 0.89976092]
MORC3	[0.00532977 0.8997658 ]
HRK	[-0.00532703  0.89981692]
TNFSF9	[-0.0053147   0.90004775]
ERC1	[0.00531402 0.90006049]
RERE	[-0.0053124   0.90009079]
C14orf149	[0.00530808 0.90017151]
OPN1LW	[0.00530622 0.9002063 ]
ELF2	[0.00530468 0.90023508]
DPY19L3	[-0.00530285  0.90026933]
APOL1	[0.00530168 0.90029122]
DKFZp761B107	[0.00529802 0.90035966]
CASP2	[0.00529533 0.90041012]
DNAJC12	[-0.00529468  0.90042223]
RNF44	[-0.00529286  0.90045619]
UQCR	[0.00527762 0.90074144]
C7orf41	[0.00527721 0.90074917]
TUBA1A	[-0.00526348  0.90100602]
ARF3	[0.00525836 0.90110177]
C16orf46	[-0.00525061  0.9012469 ]
ZNF207	[-0.00524812  0.90129333]
EIF2AK2	[-0.00524803  0.90129515]
MAP3K5	[-0.00524593  0.90133444]
ICAM5	[-0.00524337  0.90138237]
GATS	[-0.00524134  0.90142026]
C15orf21	[-0.00523679  0.90150537]
SCGB3A1	[0.00523606 0.90151904]
ZNF669	[-0.0052337   0.90156318]
CDC26	[0.00522063 0.90180781]
ZNF100	[0.00521737 0.90186888]
LSS	[-0.00519794  0.90223244]
KIF12	[-0.00519466  0.90229373]
KLK14	[-0.00519371  0.90231151]
CYLD	[0.005188   0.90241845]
GNA12	[-0.00516701  0.90281137]
LASS2	[0.00516003 0.90294188]
IRS2	[0.00515987 0.90294498]
C4orf20	[-0.00515775  0.90298461]
ST6GALNAC3	[-0.00515574  0.90302234]
SLC15A4	[0.00515357 0.90306285]
GMPPB	[-0.00515332  0.90306762]
CACNA1F	[0.00515038 0.90312266]
ACAN	[-0.00514067  0.90330433]
MLLT10	[0.00513393 0.90343046]
C1QTNF1	[-0.0051329   0.90344973]
C6orf117	[-0.00513246  0.90345791]
VASN	[0.00510919 0.90389353]
RSHL1	[0.00510646 0.90394467]
KCNA5	[0.00510485 0.90397489]
GINS1	[0.00510326 0.90400463]
MGC23270	[-0.00509826  0.90409826]
FKBP4	[-0.00509728  0.9041166 ]
C12orf51	[-0.00509703  0.90412117]
RHOXF1	[0.0050963  0.90413494]
FLJ22167	[-0.0050934   0.90418911]
KLHL21	[0.0050929  0.90419845]
CDKN2C	[-0.00509208  0.90421391]
LOC136288	[-0.00508975  0.90425751]
IDH3G	[-0.00508657  0.90431705]
LIPC	[-0.00508349  0.90437461]
DACH1	[0.00508311 0.90438182]
ESX1	[-0.00508188  0.90440478]
FLJ16369	[0.00507462 0.90454075]
TBC1D5	[-0.00506664  0.90469018]
C14orf37	[-0.00506643  0.90469405]
RICTOR	[0.00505889 0.90483521]
GLP2R	[-0.00505802  0.9048516 ]
NOL1	[0.00505335 0.90493897]
CYP24A1	[-0.00504835  0.90503264]
FAM133B	[0.00504609 0.90507487]
C19orf6	[-0.00504433  0.90510783]
BRMS1L	[-0.00503409  0.90529961]
CACNA1H	[-0.00502379  0.90549234]
CAPN2	[0.00501685 0.90562243]
UBE1L2	[-0.00501557  0.90564637]
ZNF500	[-0.00501358  0.90568353]
LOC441177	[-0.00500359  0.90587057]
SFRS11	[-0.00500105  0.90591816]
PXK	[-0.00499677  0.90599838]
IER3	[0.00499278 0.90607317]
TCBA1	[0.00498888 0.90614607]
TESK2	[-0.00498743  0.90617317]
SLC7A6	[0.00498585 0.90620289]
PTPLB	[-0.00497666  0.906375  ]
KIFAP3	[-0.00497556  0.90639556]
CCDC128	[-0.00497426  0.90641997]
PPP1R10	[0.00496917 0.90651519]
C15orf32	[-0.00496657  0.90656389]
NDP	[0.00496403 0.90661145]
ZP3	[0.00495784 0.90672748]
JARID1A	[0.00495208 0.90683529]
ERN2	[-0.00494987  0.90687671]
PMP22CD	[-0.00494868  0.90689898]
RSRC1	[0.00494833 0.90690547]
DNM3	[0.00494642 0.90694124]
C1orf109	[-0.00494578  0.90695329]
DTX3L	[-0.00494409  0.90698493]
DENND1A	[0.00493929 0.90707479]
SPNS3	[0.00493637 0.90712946]
FYN	[0.00493442 0.90716608]
BCL10	[-0.00493128  0.9072248 ]
ACADM	[-0.00492953  0.90725767]
PACSIN2	[0.00492853 0.90727628]
MESDC1	[0.00492589 0.90732585]
PPP1R12B	[0.0049245  0.90735171]
MYNN	[-0.00492092  0.90741879]
HS3ST3B1	[-0.00491307  0.90756579]
OR51G2	[0.00490829 0.90765538]
N-PAC	[0.00490675 0.90768416]
ZMAT2	[0.0049029  0.90775643]
GPR123	[-0.00489857  0.90783749]
ASB3	[0.00489837 0.90784117]
ZNF774	[0.00489782 0.90785143]
PRMT6	[0.00489275 0.90794653]
ZNF710	[0.0048864 0.9080655]
USP12	[0.00488011 0.90818314]
SFRS3	[0.00487223 0.90833089]
CAMLG	[0.00487161 0.90834238]
ZNF99	[0.00486819 0.90840648]
NTF5	[0.00486245 0.9085141 ]
RIBC1	[0.00486238 0.90851537]
SLC10A3	[-0.00486209  0.90852081]
IFT74	[0.0048574  0.90860866]
MED23	[0.00485276 0.90869558]
FLJ23356	[-0.00485049  0.90873812]
MORF4	[-0.00485033  0.90874104]
SLC5A12	[-0.00485017  0.90874416]
WNK3	[-0.00484596  0.90882299]
CACNG6	[-0.00484062  0.90892301]
RBPJL	[-0.00483962  0.90894172]
ICA1	[0.00483749 0.90898152]
TMEM16C	[-0.00483267  0.90907183]
SLFN12	[-0.00482706  0.90917693]
KRTAP3-3	[0.00482602 0.90919645]
SPATA17	[-0.00482555  0.90920523]
UBE2T	[0.00482462 0.9092227 ]
CXorf52	[0.00482064 0.90929736]
OR8D2	[0.00482008 0.90930769]
MSRB2	[0.0048195  0.90931871]
IFNA2	[0.00481841 0.90933904]
CARD9	[-0.00481802  0.90934629]
FAM12A	[0.0048175  0.90935615]
KIAA0323	[0.00481665 0.90937201]
STRA8	[-0.00481576  0.90938862]
GALNS	[0.00481422 0.90941757]
NR0B2	[0.00481212 0.90945681]
TMEM177	[0.00480349 0.90961855]
TXNDC13	[-0.00480128  0.90965993]
DTYMK	[-0.00480083  0.90966844]
SLC4A3	[-0.0047969   0.90974204]
